,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,tripura,2019,3,Recharge & bill payments,339539,81845425.35425141
1,tripura,2019,3,Peer-to-peer payments,270163,884623553.9011384
2,tripura,2019,3,Merchant payments,68399,44802063.64430427
3,tripura,2019,3,Financial Services,27970,582020.9903208594
4,tripura,2019,3,Others,5646,5524358.927209696
5,tripura,2019,2,Peer-to-peer payments,240776,751113516.2256755
6,tripura,2019,2,Recharge & bill payments,218649,48989430.60730426
7,tripura,2019,2,Merchant payments,64829,35275706.82877502
8,tripura,2019,2,Financial Services,1899,339184.3344705297
9,tripura,2019,2,Others,6405,6103644.851151889
10,tripura,2019,1,Peer-to-peer payments,296993,679165332.8123899
11,tripura,2019,1,Recharge & bill payments,227997,44429378.42277926
12,tripura,2019,1,Merchant payments,46642,28109966.31994779
13,tripura,2019,1,Financial Services,4189,461473.58856435167
14,tripura,2019,1,Others,5105,4728790.472138839
15,tripura,2019,4,Recharge & bill payments,373779,88001651.28693296
16,tripura,2019,4,Peer-to-peer payments,359076,1071507585.9983547
17,tripura,2019,4,Merchant payments,62458,51274033.720727704
18,tripura,2019,4,Financial Services,2239,377097.66713108413
19,tripura,2019,4,Others,4272,4239791.585043055
20,tripura,2020,3,Recharge & bill payments,627363,185201997.2796099
21,tripura,2020,3,Peer-to-peer payments,477769,1959371082.9173033
22,tripura,2020,3,Merchant payments,202106,190218136.2808841
23,tripura,2020,3,Financial Services,3828,3141391.5755430083
24,tripura,2020,3,Others,6819,3886908.1625436572
25,tripura,2020,2,Recharge & bill payments,600206,163220166.76643574
26,tripura,2020,2,Peer-to-peer payments,346863,1501452755.6890237
27,tripura,2020,2,Merchant payments,97816,99795973.60794038
28,tripura,2020,2,Financial Services,2904,2247782.5219734698
29,tripura,2020,2,Others,4731,2459205.000588993
30,tripura,2020,1,Recharge & bill payments,449584,114355218.03514045
31,tripura,2020,1,Peer-to-peer payments,366218,1400694933.570157
32,tripura,2020,1,Merchant payments,102861,68590603.6377098
33,tripura,2020,1,Financial Services,1722,1066651.521721911
34,tripura,2020,1,Others,4117,4071399.6237732675
35,tripura,2020,4,Peer-to-peer payments,650386,2683789889.83192
36,tripura,2020,4,Recharge & bill payments,631611,192385823.43220186
37,tripura,2020,4,Merchant payments,357567,296872485.4156503
38,tripura,2020,4,Financial Services,4084,3666639.308697606
39,tripura,2020,4,Others,8242,5416158.232838955
40,tripura,2018,3,Peer-to-peer payments,186065,398867427.32463384
41,tripura,2018,3,Recharge & bill payments,156308,33484811.21282282
42,tripura,2018,3,Merchant payments,21476,16092396.41113394
43,tripura,2018,3,Financial Services,8106,1080000.0112896338
44,tripura,2018,3,Others,5748,4338753.080712541
45,tripura,2018,2,Recharge & bill payments,118171,22554398.15273035
46,tripura,2018,2,Peer-to-peer payments,73821,197666881.8729688
47,tripura,2018,2,Merchant payments,9621,10570951.151568789
48,tripura,2018,2,Financial Services,6925,1264101.904810368
49,tripura,2018,2,Others,6021,4835385.634057636
50,tripura,2018,1,Recharge & bill payments,86819,14079439.569905948
51,tripura,2018,1,Peer-to-peer payments,44844,112229994.97675678
52,tripura,2018,1,Financial Services,4842,672247.5881710155
53,tripura,2018,1,Merchant payments,4833,6080959.882836086
54,tripura,2018,1,Others,6819,4916272.512952799
55,tripura,2018,4,Recharge & bill payments,204720,38334816.66379926
56,tripura,2018,4,Peer-to-peer payments,179739,549068822.3729683
57,tripura,2018,4,Merchant payments,50888,31066467.633390322
58,tripura,2018,4,Financial Services,6441,1023126.8205747404
59,tripura,2018,4,Others,6271,5392365.973713988
60,tripura,2021,3,Peer-to-peer payments,864329,3491901741.1594186
61,tripura,2021,3,Recharge & bill payments,620991,215226019.57596284
62,tripura,2021,3,Merchant payments,584079,648504775.623629
63,tripura,2021,3,Financial Services,2886,3473153.087671739
64,tripura,2021,3,Others,8915,5028078.734792852
65,tripura,2021,2,Peer-to-peer payments,703728,2865655130.4313264
66,tripura,2021,2,Recharge & bill payments,589839,189808502.9050523
67,tripura,2021,2,Merchant payments,440060,404915546.5177107
68,tripura,2021,2,Financial Services,3656,3503925.3381061675
69,tripura,2021,2,Others,7146,4271255.844077852
70,tripura,2021,1,Peer-to-peer payments,643366,2821226150.5919185
71,tripura,2021,1,Recharge & bill payments,508718,173211140.89346513
72,tripura,2021,1,Merchant payments,350366,333743281.32103896
73,tripura,2021,1,Financial Services,3146,2879929.222833151
74,tripura,2021,1,Others,5827,4281067.764165951
75,tripura,2021,4,Peer-to-peer payments,1060915,4368786747.103016
76,tripura,2021,4,Merchant payments,793636,874005407.7140213
77,tripura,2021,4,Recharge & bill payments,650251,241225282.07451886
78,tripura,2021,4,Financial Services,3635,5073898.6076811645
79,tripura,2021,4,Others,12256,7838128.800210228
80,tripura,2022,3,Peer-to-peer payments,1836678,6718925839.047781
81,tripura,2022,3,Merchant payments,1660497,1589078400.2615328
82,tripura,2022,3,Recharge & bill payments,745382,329401812.4140819
83,tripura,2022,3,Financial Services,4343,5330626.119674753
84,tripura,2022,3,Others,9679,5616127.06807068
85,tripura,2022,2,Peer-to-peer payments,1443647,5354182193.788111
86,tripura,2022,2,Merchant payments,1322009,1235804019.563663
87,tripura,2022,2,Recharge & bill payments,638643,278018856.17835283
88,tripura,2022,2,Financial Services,3812,4533635.768901512
89,tripura,2022,2,Others,10553,5732336.736273008
90,tripura,2022,1,Peer-to-peer payments,1221863,4934712034.365204
91,tripura,2022,1,Merchant payments,992891,1037265262.6570499
92,tripura,2022,1,Recharge & bill payments,641170,262348230.9954375
93,tripura,2022,1,Financial Services,4351,5782533.2422681665
94,tripura,2022,1,Others,10915,7221703.089884497
95,tripura,2022,4,Peer-to-peer payments,2252390,8142233538.414012
96,tripura,2022,4,Merchant payments,2054988,1925282618.8109846
97,tripura,2022,4,Recharge & bill payments,874800,373875271.19878656
98,tripura,2022,4,Financial Services,5787,5028488.55453164
99,tripura,2022,4,Others,10225,6551901.175783692
100,assam,2019,3,Peer-to-peer payments,2713539,11835800855.176552
101,assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
102,assam,2019,3,Merchant payments,513728,421380275.4207429
103,assam,2019,3,Financial Services,8606,6403456.344768786
104,assam,2019,3,Others,61396,46973660.73634353
105,assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
106,assam,2019,2,Peer-to-peer payments,2293770,10035232820.852964
107,assam,2019,2,Merchant payments,573646,326844709.5879724
108,assam,2019,2,Financial Services,13654,4037222.414240564
109,assam,2019,2,Others,60927,49538663.41037582
110,assam,2019,1,Recharge & bill payments,1993220,400281677.94382846
111,assam,2019,1,Peer-to-peer payments,1976310,7291433300.700247
112,assam,2019,1,Merchant payments,494871,266644645.74929428
113,assam,2019,1,Financial Services,20162,4612454.1127945455
114,assam,2019,1,Others,48442,39127457.944687635
115,assam,2019,4,Peer-to-peer payments,3222143,14083346879.361855
116,assam,2019,4,Recharge & bill payments,2937800,704118873.972094
117,assam,2019,4,Merchant payments,544053,456318130.082201
118,assam,2019,4,Financial Services,9621,3492255.0860687294
119,assam,2019,4,Others,46893,34707757.009855896
120,assam,2020,3,Peer-to-peer payments,5637893,26646565777.43919
121,assam,2020,3,Recharge & bill payments,5292154,1627282415.9451878
122,assam,2020,3,Merchant payments,1383230,1492484153.3873158
123,assam,2020,3,Financial Services,24954,28452966.026372254
124,assam,2020,3,Others,59480,36605946.74600269
125,assam,2020,2,Recharge & bill payments,6045321,1612522828.7163475
126,assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
127,assam,2020,2,Merchant payments,742400,749018053.2400584
128,assam,2020,2,Financial Services,19814,18130004.687672265
129,assam,2020,2,Others,49278,28255168.009208795
130,assam,2020,1,Peer-to-peer payments,4058740,18977446151.768826
131,assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
132,assam,2020,1,Merchant payments,792646,675423852.9512749
133,assam,2020,1,Financial Services,10173,7054325.507515656
134,assam,2020,1,Others,49326,36781411.34368035
135,assam,2020,4,Peer-to-peer payments,7538478,36013292450.814384
136,assam,2020,4,Recharge & bill payments,5383505,1662189124.4177454
137,assam,2020,4,Merchant payments,2392184,2466913305.59039
138,assam,2020,4,Financial Services,29764,32314809.975261033
139,assam,2020,4,Others,79523,51901628.46643049
140,assam,2018,3,Recharge & bill payments,1275136,254569069.32411742
141,assam,2018,3,Peer-to-peer payments,843571,3424136709.5088205
142,assam,2018,3,Merchant payments,159532,96783839.37466942
143,assam,2018,3,Financial Services,22677,4741123.821880115
144,assam,2018,3,Others,50935,30904247.884785894
145,assam,2018,2,Recharge & bill payments,984160,174427478.21340805
146,assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972
147,assam,2018,2,Merchant payments,79307,73366344.80739225
148,assam,2018,2,Financial Services,22773,7051504.657611102
149,assam,2018,2,Others,46852,31425754.725386057
150,assam,2018,1,Recharge & bill payments,632092,93491181.14056379
151,assam,2018,1,Peer-to-peer payments,318025,993525195.9818655
152,assam,2018,1,Merchant payments,40482,34501622.89266755
153,assam,2018,1,Financial Services,18172,4936862.200688562
154,assam,2018,1,Others,48110,31349593.99668264
155,assam,2018,4,Recharge & bill payments,1703488,317661277.3470997
