,State,Year,Quarter,District,count,amount
0,tripura,2019,3,unakoti district,24817,37601399.539157376
1,tripura,2019,3,khowai district,31061,48267493.19735643
2,tripura,2019,3,sepahijala district,64021,100769508.41196786
3,tripura,2019,3,north tripura district,49503,71077675.08774427
4,tripura,2019,3,dhalai district,44468,71345910.41205536
5,tripura,2019,3,south tripura district,66682,99290824.56459549
6,tripura,2019,3,gomati district,60249,87365263.29836246
7,tripura,2019,3,west tripura district,370916,501659348.30598545
8,tripura,2019,2,unakoti district,20264,29942709.57518096
9,tripura,2019,2,khowai district,27357,39594573.11367641
10,tripura,2019,2,sepahijala district,51675,91802336.89096056
11,tripura,2019,2,north tripura district,34750,57253647.84893566
12,tripura,2019,2,dhalai district,35446,57168085.150431305
13,tripura,2019,2,south tripura district,58687,93657802.46878463
14,tripura,2019,2,gomati district,44671,72233524.18215181
15,tripura,2019,2,west tripura district,259708,400168803.61725503
16,tripura,2019,1,unakoti district,24562,28789584.83707358
17,tripura,2019,1,khowai district,36291,41097809.268162064
18,tripura,2019,1,sepahijala district,65545,79750942.69844744
19,tripura,2019,1,north tripura district,35513,53359801.416677624
20,tripura,2019,1,dhalai district,33295,57107027.86254052
21,tripura,2019,1,south tripura district,64445,78239589.10235174
22,tripura,2019,1,gomati district,51994,62247963.56023826
23,tripura,2019,1,west tripura district,269281,356302222.87033004
24,tripura,2019,4,unakoti district,35536,54063293.815416425
25,tripura,2019,4,khowai district,35979,55953879.30109074
26,tripura,2019,4,sepahijala district,73165,126608014.74795961
27,tripura,2019,4,north tripura district,61226,90362263.29445888
28,tripura,2019,4,dhalai district,52188,79988122.4279602
29,tripura,2019,4,south tripura district,76273,115116709.40717971
30,tripura,2019,4,gomati district,72919,107373443.70576558
31,tripura,2019,4,west tripura district,394538,585934433.558359
32,tripura,2020,3,unakoti district,63441,118957916.52995977
33,tripura,2020,3,khowai district,72823,129761070.16067821
34,tripura,2020,3,sepahijala district,144693,269350118.6330105
35,tripura,2020,3,north tripura district,126884,207965073.7559021
36,tripura,2020,3,dhalai district,114616,192403601.42055285
37,tripura,2020,3,south tripura district,151881,270869695.8170734
38,tripura,2020,3,gomati district,121329,214785928.09740338
39,tripura,2020,3,west tripura district,522218,937726111.8013046
40,tripura,2020,2,unakoti district,51385,78087527.62381232
41,tripura,2020,2,khowai district,57871,87108349.82516634
42,tripura,2020,2,sepahijala district,113723,189445992.22517106
43,tripura,2020,2,north tripura district,101129,142793248.50751278
44,tripura,2020,2,dhalai district,91473,139760407.46690515
45,tripura,2020,2,south tripura district,120386,209028177.93741143
46,tripura,2020,2,gomati district,94532,143272330.02195236
47,tripura,2020,2,west tripura district,422021,779679849.9780351
48,tripura,2020,1,unakoti district,37292,65629411.24942416
49,tripura,2020,1,khowai district,43027,73376986.42934099
50,tripura,2020,1,sepahijala district,82186,153302286.84263223
51,tripura,2020,1,north tripura district,71460,109976480.50529519
52,tripura,2020,1,dhalai district,61425,99410788.98253483
53,tripura,2020,1,south tripura district,89869,155003031.67681992
54,tripura,2020,1,gomati district,77355,136218979.95952815
55,tripura,2020,1,west tripura district,461888,795860840.742927
56,tripura,2020,4,unakoti district,77102,156226431.56807107
57,tripura,2020,4,khowai district,83899,156613600.32324535
58,tripura,2020,4,sepahijala district,165182,336834539.2035086
59,tripura,2020,4,north tripura district,164023,307732518.799576
60,tripura,2020,4,dhalai district,137188,266253033.05323905
61,tripura,2020,4,south tripura district,182583,347232002.6283551
62,tripura,2020,4,gomati district,149404,291692706.480306
63,tripura,2020,4,west tripura district,692509,1319546164.1650112
64,tripura,2018,3,unakoti district,29360,19643274.575087894
65,tripura,2018,3,khowai district,14941,21548759.427429266
66,tripura,2018,3,sepahijala district,33646,39779005.11547229
67,tripura,2018,3,north tripura district,25747,30157424.752639703
68,tripura,2018,3,dhalai district,22350,31331691.36689817
69,tripura,2018,3,south tripura district,49250,45613113.08085984
70,tripura,2018,3,gomati district,34380,36259157.953162886
71,tripura,2018,3,west tripura district,168029,229530961.76904225
72,tripura,2018,2,unakoti district,9198,6923396.262354778
73,tripura,2018,2,khowai district,11440,12338889.10193297
74,tripura,2018,2,sepahijala district,18815,23613654.490828905
75,tripura,2018,2,north tripura district,13859,16015790.907680929
76,tripura,2018,2,dhalai district,14563,15283111.134383248
77,tripura,2018,2,south tripura district,22366,18977158.301921178
78,tripura,2018,2,gomati district,16000,15955619.883351957
79,tripura,2018,2,west tripura district,108318,127784098.633682
80,tripura,2018,1,unakoti district,5068,4349605.99414449
81,tripura,2018,1,khowai district,8838,7242490.357963288
82,tripura,2018,1,sepahijala district,14107,13224752.635975957
83,tripura,2018,1,north tripura district,9915,10869174.626601541
84,tripura,2018,1,dhalai district,9195,8812172.047209244
85,tripura,2018,1,south tripura district,18338,13785118.334229637
86,tripura,2018,1,gomati district,12229,11277259.25510255
87,tripura,2018,1,west tripura district,70467,68418341.27939591
88,tripura,2018,4,unakoti district,22714,18120450.88253949
89,tripura,2018,4,khowai district,26880,33718919.53354463
90,tripura,2018,4,sepahijala district,53688,62851730.0512325
91,tripura,2018,4,north tripura district,34385,44032488.77566351
92,tripura,2018,4,dhalai district,28775,46429185.35186546
93,tripura,2018,4,south tripura district,49820,66095950.12312652
94,tripura,2018,4,gomati district,38970,48523976.18040443
95,tripura,2018,4,west tripura district,192827,305112898.56606925
96,tripura,2021,3,unakoti district,105296,228625158.42425585
97,tripura,2021,3,khowai district,89061,181900029.39183187
98,tripura,2021,3,sepahijala district,195392,447581559.15148854
99,tripura,2021,3,north tripura district,210698,454116633.31926054
100,tripura,2021,3,dhalai district,167446,368906160.1985531
101,tripura,2021,3,south tripura district,186827,414556972.4847057
102,tripura,2021,3,gomati district,166441,372982272.5022316
103,tripura,2021,3,west tripura district,960039,1895464982.709153
104,tripura,2021,2,unakoti district,88092,174170768.10130727
105,tripura,2021,2,khowai district,81845,164265842.95334023
106,tripura,2021,2,sepahijala district,166437,361358159.019094
107,tripura,2021,2,north tripura district,176067,351155989.2912202
108,tripura,2021,2,dhalai district,138998,278586073.4183272
109,tripura,2021,2,south tripura district,171713,365935947.9664031
110,tripura,2021,2,gomati district,148554,309610328.7995062
111,tripura,2021,2,west tripura district,772723,1463071251.4870775
112,tripura,2021,1,unakoti district,68925,161256237.6246628
113,tripura,2021,1,khowai district,71155,160906168.90000182
114,tripura,2021,1,sepahijala district,141426,365525453.40613097
115,tripura,2021,1,north tripura district,143060,318074681.762841
116,tripura,2021,1,dhalai district,116945,274079611.2937597
117,tripura,2021,1,south tripura district,150265,357643996.07881093
118,tripura,2021,1,gomati district,127271,295815100.00755715
119,tripura,2021,1,west tripura district,692376,1402040320.719656
