,State,Year,Quarter,District,RegisteredUser
0,tripura,2019,3,unakoti district,12126
1,tripura,2019,3,khowai district,15092
2,tripura,2019,3,sepahijala district,24332
3,tripura,2019,3,north tripura district,22522
4,tripura,2019,3,dhalai district,18140
5,tripura,2019,3,south tripura district,26573
6,tripura,2019,3,gomati district,21722
7,tripura,2019,3,west tripura district,104949
8,tripura,2019,2,unakoti district,10629
9,tripura,2019,2,khowai district,13523
10,tripura,2019,2,sepahijala district,21673
11,tripura,2019,2,north tripura district,19505
12,tripura,2019,2,dhalai district,15893
13,tripura,2019,2,south tripura district,23743
14,tripura,2019,2,gomati district,19437
15,tripura,2019,2,west tripura district,93241
16,tripura,2019,1,unakoti district,8750
17,tripura,2019,1,khowai district,11327
18,tripura,2019,1,sepahijala district,18086
19,tripura,2019,1,north tripura district,15986
20,tripura,2019,1,dhalai district,13219
21,tripura,2019,1,south tripura district,19784
22,tripura,2019,1,gomati district,16370
23,tripura,2019,1,west tripura district,79732
24,tripura,2019,4,unakoti district,13824
25,tripura,2019,4,khowai district,16819
26,tripura,2019,4,sepahijala district,27322
27,tripura,2019,4,north tripura district,25703
28,tripura,2019,4,dhalai district,20609
29,tripura,2019,4,south tripura district,29753
30,tripura,2019,4,gomati district,24160
31,tripura,2019,4,west tripura district,114108
32,tripura,2020,3,unakoti district,20095
33,tripura,2020,3,khowai district,23565
34,tripura,2020,3,sepahijala district,39970
35,tripura,2020,3,north tripura district,37284
36,tripura,2020,3,dhalai district,29515
37,tripura,2020,3,south tripura district,40797
38,tripura,2020,3,gomati district,34073
39,tripura,2020,3,west tripura district,151432
40,tripura,2020,2,unakoti district,17832
41,tripura,2020,2,khowai district,20922
42,tripura,2020,2,sepahijala district,35017
43,tripura,2020,2,north tripura district,32851
44,tripura,2020,2,dhalai district,26043
45,tripura,2020,2,south tripura district,36522
46,tripura,2020,2,gomati district,30323
47,tripura,2020,2,west tripura district,137156
48,tripura,2020,1,unakoti district,15593
49,tripura,2020,1,khowai district,18592
50,tripura,2020,1,sepahijala district,30379
51,tripura,2020,1,north tripura district,28648
52,tripura,2020,1,dhalai district,22808
53,tripura,2020,1,south tripura district,32716
54,tripura,2020,1,gomati district,26688
55,tripura,2020,1,west tripura district,124538
56,tripura,2020,4,unakoti district,22005
57,tripura,2020,4,khowai district,25507
58,tripura,2020,4,sepahijala district,43722
59,tripura,2020,4,north tripura district,40886
60,tripura,2020,4,dhalai district,32210
61,tripura,2020,4,south tripura district,43899
62,tripura,2020,4,gomati district,37129
63,tripura,2020,4,west tripura district,163752
64,tripura,2018,3,unakoti district,5460
65,tripura,2018,3,khowai district,6816
66,tripura,2018,3,sepahijala district,10803
67,tripura,2018,3,north tripura district,9771
68,tripura,2018,3,dhalai district,8039
69,tripura,2018,3,south tripura district,12286
70,tripura,2018,3,gomati district,10168
71,tripura,2018,3,west tripura district,53531
72,tripura,2018,2,unakoti district,3841
73,tripura,2018,2,khowai district,4674
74,tripura,2018,2,sepahijala district,7217
75,tripura,2018,2,north tripura district,6702
76,tripura,2018,2,dhalai district,5549
77,tripura,2018,2,south tripura district,8068
78,tripura,2018,2,gomati district,6973
79,tripura,2018,2,west tripura district,40345
80,tripura,2018,1,unakoti district,2484
81,tripura,2018,1,khowai district,3017
82,tripura,2018,1,sepahijala district,4664
83,tripura,2018,1,north tripura district,4432
84,tripura,2018,1,dhalai district,3448
85,tripura,2018,1,south tripura district,5361
86,tripura,2018,1,gomati district,4509
87,tripura,2018,1,west tripura district,27242
88,tripura,2018,4,unakoti district,7260
89,tripura,2018,4,khowai district,9488
90,tripura,2018,4,sepahijala district,14973
91,tripura,2018,4,north tripura district,13150
92,tripura,2018,4,dhalai district,10877
93,tripura,2018,4,south tripura district,16426
94,tripura,2018,4,gomati district,13542
95,tripura,2018,4,west tripura district,67549
96,tripura,2021,3,unakoti district,27828
97,tripura,2021,3,khowai district,31900
98,tripura,2021,3,sepahijala district,54797
99,tripura,2021,3,north tripura district,51321
100,tripura,2021,3,dhalai district,40679
101,tripura,2021,3,south tripura district,54747
102,tripura,2021,3,gomati district,46535
103,tripura,2021,3,west tripura district,202122
104,tripura,2021,2,unakoti district,25612
105,tripura,2021,2,khowai district,29432
106,tripura,2021,2,sepahijala district,50606
107,tripura,2021,2,north tripura district,47392
108,tripura,2021,2,dhalai district,37460
109,tripura,2021,2,south tripura district,50556
110,tripura,2021,2,gomati district,42972
111,tripura,2021,2,west tripura district,188123
112,tripura,2021,1,unakoti district,23739
113,tripura,2021,1,khowai district,27361
114,tripura,2021,1,sepahijala district,46925
115,tripura,2021,1,north tripura district,44051
116,tripura,2021,1,dhalai district,34747
117,tripura,2021,1,south tripura district,47052
118,tripura,2021,1,gomati district,39920
119,tripura,2021,1,west tripura district,175841
120,tripura,2021,4,unakoti district,29889
121,tripura,2021,4,khowai district,34253
122,tripura,2021,4,sepahijala district,58818
123,tripura,2021,4,north tripura district,55009
124,tripura,2021,4,dhalai district,43705
125,tripura,2021,4,south tripura district,58777
126,tripura,2021,4,gomati district,49981
127,tripura,2021,4,west tripura district,215860
128,tripura,2022,3,unakoti district,35830
129,tripura,2022,3,khowai district,40758
130,tripura,2022,3,sepahijala district,70255
131,tripura,2022,3,north tripura district,65452
132,tripura,2022,3,dhalai district,52074
133,tripura,2022,3,south tripura district,70107
134,tripura,2022,3,gomati district,59506
135,tripura,2022,3,west tripura district,255161
136,tripura,2022,2,unakoti district,33904
137,tripura,2022,2,khowai district,38683
138,tripura,2022,2,sepahijala district,66602
139,tripura,2022,2,north tripura district,62140
140,tripura,2022,2,dhalai district,49424
141,tripura,2022,2,south tripura district,66478
142,tripura,2022,2,gomati district,56510
143,tripura,2022,2,west tripura district,242041
144,tripura,2022,1,unakoti district,31971
145,tripura,2022,1,khowai district,36592
146,tripura,2022,1,sepahijala district,62906
147,tripura,2022,1,north tripura district,58694
148,tripura,2022,1,dhalai district,46680
149,tripura,2022,1,south tripura district,62764
150,tripura,2022,1,gomati district,53356
151,tripura,2022,1,west tripura district,229161
152,tripura,2022,4,unakoti district,37434
153,tripura,2022,4,khowai district,42490
154,tripura,2022,4,sepahijala district,73240
155,tripura,2022,4,north tripura district,68352
156,tripura,2022,4,dhalai district,54280
157,tripura,2022,4,south tripura district,73117
158,tripura,2022,4,gomati district,62115
159,tripura,2022,4,west tripura district,267713
160,assam,2019,3,tinsukia district,68999
161,assam,2019,3,lakhimpur district,43745
162,assam,2019,3,kamrup district,75174
163,assam,2019,3,kokrajhar district,28222
164,assam,2019,3,karbi anglong district,27576
165,assam,2019,3,sivasagar district,38799
166,assam,2019,3,dibrugarh district,84029
167,assam,2019,3,south salmara mancachar district,12313
168,assam,2019,3,nagaon district,100993
169,assam,2019,3,dhubri district,48953
170,assam,2019,3,golaghat district,48408
171,assam,2019,3,udalguri district,27337
172,assam,2019,3,majuli district,6865
173,assam,2019,3,sonitpur district,83930
174,assam,2019,3,hojai district,32322
175,assam,2019,3,marigaon district,45437
176,assam,2019,3,chirang district,16353
177,assam,2019,3,cachar district,88048
178,assam,2019,3,nalbari district,34518
179,assam,2019,3,west karbi anglong district,5535
180,assam,2019,3,dhemaji district,33556
181,assam,2019,3,karimganj district,41329
182,assam,2019,3,bongaigaon district,40554
183,assam,2019,3,dima hasao district,11373
184,assam,2019,3,baksa district,35085
185,assam,2019,3,charaideo district,20638
186,assam,2019,3,darrang district,36124
