,State,Year,Quarter,District,RegisteredUser
0,tripura,2019,3,799001,18755
1,tripura,2019,3,799003,15422
2,tripura,2019,3,799006,9187
3,tripura,2019,3,799002,8029
4,tripura,2019,3,799102,7680
5,tripura,2019,3,799114,7570
6,tripura,2019,3,799004,7391
7,tripura,2019,3,799007,7245
8,tripura,2019,3,799155,7186
9,tripura,2019,3,799205,6016
10,tripura,2019,2,799001,16798
11,tripura,2019,2,799003,13483
12,tripura,2019,2,799006,8140
13,tripura,2019,2,799002,7125
14,tripura,2019,2,799102,6905
15,tripura,2019,2,799114,6796
16,tripura,2019,2,799155,6631
17,tripura,2019,2,799004,6606
18,tripura,2019,2,799007,6544
19,tripura,2019,2,799205,5381
20,tripura,2019,1,799001,14805
21,tripura,2019,1,799003,10956
22,tripura,2019,1,799006,7047
23,tripura,2019,1,799002,6123
24,tripura,2019,1,799155,5854
25,tripura,2019,1,799114,5790
26,tripura,2019,1,799102,5778
27,tripura,2019,1,799007,5767
28,tripura,2019,1,799004,5621
29,tripura,2019,1,799205,4515
30,tripura,2019,4,799001,20197
31,tripura,2019,4,799003,16676
32,tripura,2019,4,799006,9937
33,tripura,2019,4,799002,8739
34,tripura,2019,4,799102,8512
35,tripura,2019,4,799114,8365
36,tripura,2019,4,799004,8090
37,tripura,2019,4,799155,8025
38,tripura,2019,4,799007,7836
39,tripura,2019,4,799205,6624
40,tripura,2020,3,799001,26184
41,tripura,2020,3,799003,21525
42,tripura,2020,3,799006,13199
43,tripura,2020,3,799102,11961
44,tripura,2020,3,799002,11419
45,tripura,2020,3,799114,11221
46,tripura,2020,3,799004,10988
47,tripura,2020,3,799155,10417
48,tripura,2020,3,799007,9861
49,tripura,2020,3,799205,9264
50,tripura,2020,2,799001,23830
51,tripura,2020,2,799003,19686
52,tripura,2020,2,799006,11961
53,tripura,2020,2,799102,10583
54,tripura,2020,2,799002,10419
55,tripura,2020,2,799114,10138
56,tripura,2020,2,799004,9850
57,tripura,2020,2,799155,9468
58,tripura,2020,2,799007,9103
59,tripura,2020,2,799205,8237
60,tripura,2020,1,799001,21861
61,tripura,2020,1,799003,18173
62,tripura,2020,1,799006,10847
63,tripura,2020,1,799002,9526
64,tripura,2020,1,799102,9306
65,tripura,2020,1,799114,9131
66,tripura,2020,1,799004,8844
67,tripura,2020,1,799155,8712
68,tripura,2020,1,799007,8417
69,tripura,2020,1,799205,7325
70,tripura,2020,4,799001,28351
71,tripura,2020,4,799003,23114
72,tripura,2020,4,799006,14333
73,tripura,2020,4,799102,12945
74,tripura,2020,4,799002,12369
75,tripura,2020,4,799114,12123
76,tripura,2020,4,799004,11861
77,tripura,2020,4,799155,11111
78,tripura,2020,4,799007,10586
79,tripura,2020,4,799205,9999
80,tripura,2018,3,799001,10116
81,tripura,2018,3,799003,7364
82,tripura,2018,3,799006,4766
